projectUuid,nameEn,startDate,endDate,projectTypeTerm,projectFundingCode,projectFundingDescriptionEn,projectFundingRoleId,projectFundingRoleSchemeTerm,projectFundingStartDate,projectFundingEndDate,keywords
8040ec9a-cc58-4863-a00c-62dfde3d8fdc,detecting connecting and characterising drainage ditches from airborne lidar data,2015-01-16T00:00:00Z,2019-01-16T00:00:00Z,PhD,5411,BOF - Doctoral projects ,3365,Principal Funding,2017-01-01T00:00:00Z,2018-12-31T00:00:00Z,LiDAR|Ditch|DEM|Cross-section|Point cloud|Network|
10b8d351-31e6-43d4-a9be-4059e3c71de6,sustainability and governance of socio-ecological systems in the 21st century: examining contemporary pathways leading to a more sustainable and just society.,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,PhD,5411,BOF - Doctoral projects ,3363,Complementary Funding,2016-01-01T00:00:00Z,2016-12-31T00:00:00Z,Sustainability|socio-ecological systems|21st century|just society.|sustainable society.|
912a062c-f191-4aea-beed-31cd2ac3f1c8,the determinants of audit market dynamics.,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,PhD,5411,BOF - Doctoral projects ,3363,Complementary Funding,2015-01-16T00:00:00Z,2015-12-31T00:00:00Z,audit market dynamics|determinants|
ca667e54-a375-4fbe-84d0-913c499b6a78,from online to social news: the remediation and reframing of news on facebook en twitter.,2014-10-01T00:00:00Z,2016-12-31T00:00:00Z,PhD,5412,BOF - Other initiatives ,3365,Principal Funding,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,social news|remediation|reframing|Facebook|Twitter|social media|
ba07ec2a-3d12-4d0f-b416-083e229bee39,the resilience of our houses: possibilities for structural renovation of social housing typologies from the 20th century.,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,PhD,5412,BOF - Other initiatives ,3365,Principal Funding,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,resilience|social housing|regenerate|renovation|structures|materials|materialize|integrated design|
27dc1b62-98a6-47b7-a8b6-43f4e29447d0,conception development and characterization of a ca-fe-rich binder   mortar for sustainable construction applications,2014-11-05T00:00:00Z,2018-09-02T00:00:00Z,PhD,5412,BOF - Other initiatives ,3365,Principal Funding,2014-10-01T00:00:00Z,2016-12-31T00:00:00Z,Sustainable construction materials|Alkali activated materials|
9b91b070-f3c0-4207-ae42-c00d0ae027c1,size matters! assessing effect sizes in single-case experiments using randomization tests with applications for the treatment of chronic pain.,2014-10-01T00:00:00Z,2018-05-04T00:00:00Z,PhD,5412,BOF - Other initiatives ,3365,Principal Funding,2014-10-01T00:00:00Z,2016-09-30T00:00:00Z,nonparametric statistics|single-case designs|randomization tests|
bbb3b321-3941-4c55-ba9d-5ce2d672d098,american fictions in of the anthropocene.,2014-11-03T00:00:00Z,2016-09-30T00:00:00Z,PhD,1000,"Own budget, for example: patrimony, inscription fees, gifts",3365,Principal Funding,2014-11-05T00:00:00Z,2018-09-02T00:00:00Z,Anthropocene|American literature|Contemporary literature|
8e315cd7-7b70-471b-b51f-1b33386aabbd,increasing the accuracy and speed of emi near-field scanning,2014-09-02T00:00:00Z,2018-08-23T00:00:00Z,PhD,1000,"Own budget, for example: patrimony, inscription fees, gifts",3365,Principal Funding,2014-10-01T00:00:00Z,2018-05-04T00:00:00Z,compensation|array|near-field scanner|Electromagnetic compatibility|
